#version, mean, sd, min, max
"225_747_265_1050" 213.13 0.9915139938498075 212 214 
"227_747_265_1051" 210.59 0.9120855223058882 210 212 
"228_747_265_1052" 334.12 0.4749736834815173 334 336 
"229_747_266_1052" 212 0 212 212 
"230_747_267_1053" 334.26 1.0873821775254564 333 336 
"231_747_267_1054" 332.705 1.355719366240665 331 335 
"232_747_267_1055" 336.185 11.367531614207195 332 401 
"233_747_267_1056" 211.28 1.2006664815842902 211 219 
"234_747_267_1059" 336 0 336 336 
"235_747_267_1061" 210.99 0.999949998749939 210 212 
"236_748_267_1062" 211.93 1.4611981385151038 210 214 
"_748_267_1062" 81.09 0.41460824883255737 81 83 
"_748_267_1063" 211.37 1.2934836682386066 210 215 
"240_748_267_1064" 332.12 0.8399999999999967 332 338 
"241_748_267_1065" 211.56 1.2026637102698348 210 214 
"243_749_267_1066" 212.74 0.6726068688320097 211 213 
"244_749_267_1067" 210.12 0.4749736834815175 210 212 
"245_749_267_1068" 334.68 1.5025311976794338 333 339 
"246_749_267_1069" 212.23 1.409645345468146 210 214 
"248_750_267_1071" 336.54 2.761955828756136 334 342 
"249_750_267_1072" 335.98 0.9997999799960016 335 337 
"250_751_267_1072" 332.94 0.9200000000000023 332 336 
"251_751_267_1073" 212 0 212 212 
"264_755_271_1081" 211 1 210 212 
"265_755_271_1082" 211.005 0.7106159300212733 210 212 
"266_755_271_1083" 213 1 212 214 
"267_755_271_1084" 211.25 0.4330127018922193 211 212 
"269_756_271_1085" 332.84 1.0268398122394724 329 335 
"271_757_271_1086" 333.01 0.999949998749939 332 334 
"272_757_272_1086" 215 0 215 215 
"273_757_272_1087" 334.96 0.9991996797437421 334 336 
"274_757_272_1088" 210.32 0.4664761515876242 210 211 
"275_757_272_1089" 334.36 0.6086049621881181 334 336 
"276_757_272_1090" 332.75 1.299038105676658 332 335 
"277_757_272_1091" 333.5 1.224744871391589 332 335 
"278_757_272_1092" 211.86 1.4214077528985103 210 214 
"279_757_272_1093" 336.12 0.4749736834815176 336 338 
"280_757_272_1094" 332 0 332 332 
"281_757_272_1095" 213.02 0.999799979996001 212 214 
"282_757_273_1095" 333.355 1.1441044532733913 332 336 
"284_757_273_1097" 335.9 1.2845232578665093 334 338 
"285_757_273_1098" 211.99 0.999949998749939 211 213 
"286_757_273_1099" 334 1.42828568570857 332 336 
"287_757_273_1100" 212 0 212 212 
"288_757_273_1101" 334.22 0.9228217596047472 333 337 
"289_757_273_1102" 212 0 212 212 
"290_757_273_1104" 210.44 0.9414881836751884 210 214 
"292_757_273_1105" 210.17 0.5577633906953723 210 212 
"293_757_273_1106" 336.345 1.4442904832477443 334 339 
"294_757_273_1108" 332.5 0.8660254037844386 332 334 
"295_757_273_1109" 336.845 0.9386026848459376 336 340 
"296_757_275_1110" 336.16 0.5425863986500225 336 338 
"298_757_275_1112" 334 1 333 335 
"299_757_275_1115" 336 1 335 337 
"300_757_275_1116" 336.905 1.4338671486577836 336 341 
"301_757_275_1117" 213 1 212 214 
"302_757_275_1118" 210 0 210 210 
"303_757_275_1119" 333.56 0.7657675887630668 333 336 
"304_757_275_1121" 210 0 210 210 
